order_id,order_date,order_time,city,zone,rider_id,vehicle_type,order_type,distance_km,promised_delivery_mins,actual_delivery_mins,delay_mins,delivery_status,weather_condition,order_value_inr,delivery_attempts,rider_experience_yrs,rider_rating,gps_latitude,gps_longitude,city_cleaned,vehicle_type_cleaned,actual_delivery_mins_cleaned,zone_cleaned,order_time_dt,hour
ORD000046,2024-05-28,13:52,Pune,South,RID0074,AUTO,Documents,6.44,90,93.6,3.6,On-Time,Clear,1423.82,1,4.0,4.1,8.543,93.1694,Pune,Auto,93.6,South,1900-01-01 13:52:00,13
ORD000047,2024-07-11,17:29,Jaipur,West,RID0142,Auto,Documents,12.82,120,102.6,-17.4,On-Time,Partly Cloudy,1503.25,1,0.4,3.1,14.6169,96.7195,Jaipur,Auto,102.6,West,1900-01-01 17:29:00,17
ORD000048,2024-07-07,17:03,delhi,North,RID0046,BIKE,Medicine,5.21,90,97.7,7.7,Delayed,Clear,231.33,1,3.1,3.2,19.0733,71.7571,Delhi,Bike,97.7,North,1900-01-01 17:03:00,17
ORD000049,2024-11-07,21:02,Mumbai,Central,RID0125,Van,Electronics,3.99,45,80.5,35.5,Delayed,Fog,4158.12,2,6.8,4.7,12.764,88.5492,Mumbai,Van,80.5,Central,1900-01-01 21:02:00,21
ORD000050,2024-09-14,15:44,Pune,Central,RID0067,bike,Electronics,336.29,30,53.4,23.4,Delayed,Rain,3524.18,1,6.1,4.1,25.6308,83.2202,Pune,Bike,53.4,Central,1900-01-01 15:44:00,15
ORD000051,2024-03-18,13:24, Ahmedabad,East,RID0099,Cycle,Apparel,7.82,60,92.9,32.9,Delayed,Fog,1614.95,1,7.8,3.3,,,Ahmedabad,Cycle,92.9,East,1900-01-01 13:24:00,13
ORD000052,2024-10-16,22:20,chennai,East,RID0113,cycle,Grocery,16.16,90,133.7,43.7,Delayed,Fog,4933.86,2,5.1,5.0,9.848,91.1792,Chennai,Cycle,133.7,East,1900-01-01 22:20:00,22
ORD000053,2024-05-07,08:22,Chennai,West,RID0126,bike,Medicine,17.15,60,122.1,62.1,Delayed,Rain,4834.07,3,5.1,4.1,30.1342,95.9289,Chennai,Bike,122.1,West,1900-01-01 08:22:00,8
ORD000054,2024-01-10,20:58,Jaipur,North,RID0031,Cycle,Food,4.81,90,125.2,35.2,Delayed,Rain,2307.53,1,2.4,4.3,29.8424,92.3427,Jaipur,Cycle,125.2,North,1900-01-01 20:58:00,20
ORD000055,2024-10-18,15:28, Ahmedabad,North,,bike,Medicine,15.03,60,71.7,11.7,Delayed,Clear,4001.11,3,3.0,4.7,31.0388,71.0705,Ahmedabad,Bike,71.7,North,1900-01-01 15:28:00,15
ORD000056,2024-11-24,11:37,Hydrabad,North,RID0076,BIKE,Food,13.3,90,96.9,6.9,Delayed,Partly Cloudy,2238.2,1,7.4,4.8,34.7348,91.6262,Hyderabad,Bike,96.9,North,1900-01-01 11:37:00,11
ORD000057,2024-05-24,18:26,Jaipur,Central,,auto,Food,17.18,45,76.6,31.6,Delayed,Clear,3735.93,1,4.7,4.6,28.1093,86.6912,Jaipur,Auto,76.6,Central,1900-01-01 18:26:00,18
ORD000058,2024-03-27,08:18,Jaipur,South,,Cycle,Grocery,1.06,45,53.4,8.4,Delayed,Clear,1982.6,1,6.8,4.8,18.1215,82.5157,Jaipur,Cycle,53.4,South,1900-01-01 08:18:00,8
ORD000059,2024-04-29,17:40,Lucknow,South,RID0117,bike,Electronics,16.52,60,111.1,51.1,Delayed,Clear,4309.43,1,7.1,4.4,14.0334,77.9176,Lucknow,Bike,111.1,South,1900-01-01 17:40:00,17
ORD000060,2024-06-18,09:02,Bangalore,East,RID0130,cycle,Medicine,6.82,60,82.2,22.2,Delayed,Clear,4754.69,2,0.7,3.7,20.3404,72.1658,Bangalore,Cycle,82.2,East,1900-01-01 09:02:00,9
ORD000061,2024-01-22,13:13,Lucknow,East,RID0130,auto,Electronics,11.39,60,74.6,14.6,Delayed,Clear,2318.32,1,4.8,3.4,18.7228,86.4364,Lucknow,Auto,74.6,East,1900-01-01 13:13:00,13
ORD000062,2024-01-19,17:44,Kolkata,East,RID0009,cycle,Food,12.33,90,96.3,6.3,Delayed,Clear,1347.55,1,2.5,3.3,26.1928,94.9796,Kolkata,Cycle,96.3,East,1900-01-01 17:44:00,17
ORD000063,2024-08-14,18:36,Jaipur,,RID0135,AUTO,Apparel,10.89,60,45.9,-14.1,On-Time,Clear,3975.41,1,2.2,4.3,17.7417,85.9888,Jaipur,Auto,45.9,,1900-01-01 18:36:00,18
ORD000064,2024-11-20,07:00,Lucknow,East,RID0018,Auto,Documents,1.92,45,48.1,3.1,On-Time,Clear,2115.83,2,5.8,3.1,12.5057,79.737,Lucknow,Auto,48.1,East,1900-01-01 07:00:00,7
ORD000065,2024-10-11,18:35,Jaipur,North,,bike,Electronics,6.62,45,82.7,37.7,Delayed,Clear,4890.41,1,6.9,3.4,18.9413,68.6712,Jaipur,Bike,82.7,North,1900-01-01 18:35:00,18
ORD000066,2024-02-25,06:12,Chennai,West,,cycle,Medicine,4.37,90,92.0,2.0,On-Time,Clear,1781.7,1,3.3,3.5,11.2985,77.7478,Chennai,Cycle,92.0,West,1900-01-01 06:12:00,6
ORD000067,2024-05-07,17:10,Lucknow,,RID0018,Van,Grocery,9.47,120,122.7 mins,2.7,On-Time,Clear,654.12,2,6.5,4.1,14.6662,91.3619,Lucknow,Van,122.7,,1900-01-01 17:10:00,17
ORD000068,2024-07-29,14:24,Kolkata,North,,bike,Medicine,8.67,60,89.8,29.8,Delayed,Clear,3414.22,1,0.6,4.1,9.905,73.6181,Kolkata,Bike,89.8,North,1900-01-01 14:24:00,14
ORD000069,2024-02-24,09:58,Bangalore,West,RID0025,bike,Food,299.34,45,56.5,11.5,Delayed,Clear,4681.98,3,0.4,3.0,18.1033,70.2536,Bangalore,Bike,56.5,West,1900-01-01 09:58:00,9
ORD000070,2024-09-12,06:33,Hyderabad,North,RID0125,AUTO,Apparel,16.15,45,59.6,14.6,Delayed,Clear,770.98,1,5.7,4.7,35.7431,68.6614,Hyderabad,Auto,59.6,North,1900-01-01 06:33:00,6
ORD000071,2024-11-23,22:38,Bangalore,West,RID0028,Cycle,Grocery,16.74,30,34.8,4.8,On-Time,Partly Cloudy,1804.99,1,5.6,3.2,23.2958,76.0783,Bangalore,Cycle,34.8,West,1900-01-01 22:38:00,22
ORD000072,2024-03-18,19:39,Lucknow,North,RID0062,BIKE,Food,10.36,90,156.2,66.2,Delayed,Fog,2229.78,1,0.5,4.7,24.6878,91.8656,Lucknow,Bike,156.2,North,1900-01-01 19:39:00,19
ORD000073,2024-11-26,08:15,Mumbai,Central,RID0098,van,Medicine,16.98,90,112.0,22.0,Delayed,Partly Cloudy,3243.43,1,7.1,4.5,30.0679,83.136,Mumbai,Van,112.0,Central,1900-01-01 08:15:00,8
ORD000074,2024-04-19,08:26,Ahmedabad,,RID0004,auto,Grocery,9.22,60,71.3,11.3,Delayed,Clear,4079.57,2,2.4,4.1,34.2039,88.6781,Ahmedabad,Auto,71.3,,1900-01-01 08:26:00,8
ORD000075,2024-10-18,06:11,Kolkata ,South,,BIKE,Electronics,6.15,60,70.4,10.4,Delayed,Rain,2727.25,1,4.6,4.6,28.9226,87.4588,Kolkata,Bike,70.4,South,1900-01-01 06:11:00,6
ORD000076,2024-05-07,17:09,Lucknow,,RID0012,Bike,Documents,16.44,60,99.5,39.5,Delayed,Rain,1845.16,1,6.9,3.3,36.0255,78.9263,Lucknow,Bike,99.5,,1900-01-01 17:09:00,17
ORD000077,2024-01-18,15:01,Mumbai,Central,RID0110,Cycle,Medicine,4.56,60,61.5,1.5,On-Time,Clear,3975.66,1,7.7,3.8,20.5261,69.4456,Mumbai,Cycle,61.5,Central,1900-01-01 15:01:00,15
ORD000078,2024-05-21,14:41,Hydrabad,,RID0075,Cycle,Medicine,3.87,45,47.9,2.9,On-Time,Clear,2450.11,1,5.2,4.7,17.1324,76.5611,Hyderabad,Cycle,47.9,,1900-01-01 14:41:00,14
ORD000079,2024-03-04,15:05,Jaipur,South,RID0133,Auto,Grocery,11.53,90,77.8,-12.2,On-Time,Clear,3284.5,2,0.9,3.4,15.023,89.2893,Jaipur,Auto,77.8,South,1900-01-01 15:05:00,15
ORD000080,2024-09-04,17:21,Mumbai,North,RID0058,cycle,Grocery,17.22,120,123.4,3.4,On-Time,Partly Cloudy,4500.17,1,2.2,4.9,14.4663,86.5034,Mumbai,Cycle,123.4,North,1900-01-01 17:21:00,17
ORD000081,2024-04-12,10:55,Kolkata,North,RID0077,auto,Food,15.38,30,53.2,23.2,Delayed,Clear,4874.95,1,4.4,5.0,31.6403,83.5088,Kolkata,Auto,53.2,North,1900-01-01 10:55:00,10
ORD000082,2024-02-13,22:41,Delhi,East,,Auto,Grocery,1.74,90,86.1,-3.9,On-Time,Clear,3149.08,1,3.4,4.6,8.212,82.7865,Delhi,Auto,86.1,East,1900-01-01 22:41:00,22
ORD000083,2024-05-09,21:44,Bangalore,Central,RID0084,Van,Medicine,7.77,45,15.7,-29.3,On-Time,Clear,1057.83,2,5.1,4.7,13.4383,76.5055,Bangalore,Van,15.7,Central,1900-01-01 21:44:00,21
ORD000084,2024-05-09,10:45,Kolkata,East,,auto,Apparel,6.01,30,64.3,34.3,Delayed,Rain,3246.76,1,4.2,3.7,9.8674,94.0177,Kolkata,Auto,64.3,East,1900-01-01 10:45:00,10
ORD000085,2024-09-14,06:42,Hyderabad,Central,RID0148,Bike,Grocery,7.68,45,31.4,-13.6,On-Time,Clear,602.6,1,0.4,4.0,28.666,80.2866,Hyderabad,Bike,31.4,Central,1900-01-01 06:42:00,6
ORD000086,2024-12-05,12:41,Delhi,,,Auto,Documents,3.19,90,138.8,48.8,Delayed,Fog,4454.3,2,0.2,3.6,25.8062,86.1553,Delhi,Auto,138.8,,1900-01-01 12:41:00,12
ORD000087,2024-12-01,13:06,Chennai,North,RID0138,van,Food,8.62,90,109.2,19.2,Delayed,Clear,3293.86,1,1.2,3.2,30.3259,88.6638,Chennai,Van,109.2,North,1900-01-01 13:06:00,13
ORD000088,2024-05-05,22:26,Kolkata,North,RID0017,Auto,Apparel,9.03,90,84.5,-5.5,On-Time,Clear,1852.58,3,2.9,4.9,28.2128,71.7431,Kolkata,Auto,84.5,North,1900-01-01 22:26:00,22
ORD000089,2024-03-29,11:15,Pune,Central,,auto,Medicine,5.43,45,13.7,-31.3,On-Time,Partly Cloudy,3151.4,1,1.1,3.2,21.0673,83.2218,Pune,Auto,13.7,Central,1900-01-01 11:15:00,11
ORD000090,2024-06-22,09:48,Hydrabad,East,RID0071,Bike,Medicine,16.55,30,80.8,50.8,Delayed,Rain,1765.38,1,5.2,3.9,23.211,94.6897,Hyderabad,Bike,80.8,East,1900-01-01 09:48:00,9
ORD000091,2024-07-24,07:36,Chennai,South,,Bike,Documents,4.54,60,95.3,35.3,Delayed,Fog,2363.11,1,0.2,3.4,26.6517,90.9243,Chennai,Bike,95.3,South,1900-01-01 07:36:00,7
ORD000092,2024-05-03,20:07,Chennai,Central,RID0081,AUTO,Medicine,3.4,45,67.4,22.4,Delayed,Clear,2202.98,2,3.1,3.7,19.6236,75.8093,Chennai,Auto,67.4,Central,1900-01-01 20:07:00,20
ORD000093,2024-12-05,09:56,Kolkata,East,RID0070,Van,Electronics,1.06,30,45.7,15.7,Delayed,Clear,219.94,2,2.5,4.2,32.0719,83.7237,Kolkata,Van,45.7,East,1900-01-01 09:56:00,9
ORD000094,2024-08-15,10:44,Mumbai,Central,RID0144,AUTO,Electronics,3.75,90,153.8,63.8,Delayed,Rain,994.04,1,5.6,4.0,8.7399,86.6771,Mumbai,Auto,153.8,Central,1900-01-01 10:44:00,10
ORD000095,2024-11-27,18:15,Chennai,East,RID0059,Auto,Medicine,17.47,45,68.7,23.7,Delayed,Clear,3859.7,1,5.9,3.5,25.3246,85.2584,Chennai,Auto,68.7,East,1900-01-01 18:15:00,18
ORD000096,2024-05-24,18:29,Chennai,West,,Cycle,Documents,11.21,45,80.5,35.5,Delayed,Rain,249.22,1,2.4,4.1,30.4622,85.9554,Chennai,Cycle,80.5,West,1900-01-01 18:29:00,18
ORD000097,2024-11-25,14:13,Jaipur,,RID0143,Bike,Apparel,2.5,60,84.4,24.4,Delayed,Clear,1172.45,1,6.7,3.0,27.7688,70.9408,Jaipur,Bike,84.4,,1900-01-01 14:13:00,14
ORD000098,2024-04-21,19:06,Mumbai,Central,RID0059,Cycle,Grocery,5.75,45,47.5,2.5,On-Time,Clear,3370.02,1,7.0,3.1,26.9906,73.013,Mumbai,Cycle,47.5,Central,1900-01-01 19:06:00,19
ORD000099,2024-06-16,22:28,Kolkata,South,RID0107,bike,Apparel,9.36,90,124.1,34.1,Delayed,Rain,4199.54,1,7.6,4.1,21.2155,79.8022,Kolkata,Bike,124.1,South,1900-01-01 22:28:00,22
ORD000100,2024-01-23,22:19,Jaipur,,RID0026,Auto,Grocery,15.18,120,100.4,-19.6,On-Time,Partly Cloudy,1098.7,1,3.8,4.3,14.2585,83.2423,Jaipur,Auto,100.4,,1900-01-01 22:19:00,22
ORD000101,2024-10-03,12:45,Mumbai,East,RID0106,AUTO,Electronics,3.16,120,98.4,-21.6,On-Time,Clear,3666.13,1,0.9,4.4,28.9472,83.7027,Mumbai,Auto,98.4,East,1900-01-01 12:45:00,12
ORD000102,2024-06-24,11:07,Lucknow,East,RID0027,Bike,Electronics,4.28,60,75.7,15.7,Delayed,Partly Cloudy,2570.34,1,1.7,3.8,22.527,86.8839,Lucknow,Bike,75.7,East,1900-01-01 11:07:00,11
ORD000103,2024-07-19,09:22,Jaipur,South,RID0111,auto,Food,12.98,45,78.8,33.8,Delayed,Fog,1280.91,1,1.4,3.8,10.6121,75.9263,Jaipur,Auto,78.8,South,1900-01-01 09:22:00,9
ORD000104,2024-03-17,11:59,Lucknow,North,RID0020,Bike,Grocery,5.46,45,67.2,22.2,Delayed,Fog,4401.97,1,3.1,4.4,29.0451,76.8073,Lucknow,Bike,67.2,North,1900-01-01 11:59:00,11
ORD000105,2024-06-27,09:11,chennai,West,RID0011,cycle,Documents,2.75,30,68.2,38.2,Delayed,Partly Cloudy,1084.09,1,4.8,4.8,32.2187,75.0356,Chennai,Cycle,68.2,West,1900-01-01 09:11:00,9
ORD000106,2024-06-21,18:17,Jaipur,West,RID0033,auto,Medicine,15.81,60,118.1,58.1,Delayed,Rain,4860.53,2,6.8,4.5,23.5456,74.5963,Jaipur,Auto,118.1,West,1900-01-01 18:17:00,18
ORD000107,2024-11-02,06:56,Mumbai,South,RID0097,van,Apparel,4.85,45,30.3,-14.7,On-Time,Clear,3422.96,1,3.3,4.5,11.9706,68.3777,Mumbai,Van,30.3,South,1900-01-01 06:56:00,6
ORD000108,2024-01-26,13:58,Lucknow,East,RID0057,BIKE,Grocery,5.4,60,62.8,2.8,On-Time,Clear,4504.47,1,7.7,4.3,30.2191,72.0904,Lucknow,Bike,62.8,East,1900-01-01 13:58:00,13
ORD000109,2024-09-12,08:33,Jaipur,West,RID0020,van,Grocery,15.45,60,61.5,1.5,On-Time,Partly Cloudy,2650.93,1,5.3,4.7,10.2215,80.0147,Jaipur,Van,61.5,West,1900-01-01 08:33:00,8
ORD000110,2024-02-28,18:16,Hyderabad,East,RID0147,van,Apparel,6.67,45,34.9,-10.1,On-Time,Clear,94.12,1,0.4,4.3,13.3691,86.0617,Hyderabad,Van,34.9,East,1900-01-01 18:16:00,18
ORD000111,2024-06-18,19:06,Hyderabad,East,RID0130,AUTO,Apparel,4.94,60,101.9,41.9,Delayed,Clear,2065.47,1,7.1,4.4,,,Hyderabad,Auto,101.9,East,1900-01-01 19:06:00,19
ORD000112,2024-05-11,09:46,Ahmedabad,East,RID0102,BIKE,Grocery,17.03,45,64.4,19.4,Delayed,Rain,3197.95,1,4.9,3.8,25.6438,84.116,Ahmedabad,Bike,64.4,East,1900-01-01 09:46:00,9
ORD000113,2024-10-29,21:51,Hyderabad,East,RID0049,van,Food,12.57,90,101.1,11.1,Delayed,Clear,140.67,2,5.1,4.2,19.1415,83.9838,Hyderabad,Van,101.1,East,1900-01-01 21:51:00,21
ORD000114,2024-03-05,21:42,Jaipur,West,RID0131,AUTO,Food,16.76,45,46.7,1.7,On-Time,Clear,4864.29,1,5.9,4.0,33.9228,90.0414,Jaipur,Auto,46.7,West,1900-01-01 21:42:00,21
ORD000115,2024-01-26,15:31,Pune,West,RID0004,bike,Food,1.16,90,116.9,26.9,Delayed,Partly Cloudy,2139.02,1,0.9,4.7,13.3701,89.4005,Pune,Bike,116.9,West,1900-01-01 15:31:00,15
